CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2023-12-31;17;BCO BRASIL S.A.;001023;FRE WEB;134901;2024-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134901
00.000.000/0001-91;2023-12-31;18;BCO BRASIL S.A.;001023;FRE WEB;135940;2024-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135940
00.000.000/0001-91;2023-12-31;19;BCO BRASIL S.A.;001023;FRE WEB;137597;2024-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137597
00.000.208/0001-00;2023-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;127668;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127668
00.000.208/0001-00;2023-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;128274;2023-06-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128274
00.000.208/0001-00;2023-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;128793;2023-07-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128793
00.000.208/0001-00;2023-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;130776;2023-08-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130776
00.000.208/0001-00;2023-12-31;5;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;130856;2023-09-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130856
00.000.208/0001-00;2023-12-31;6;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;131327;2023-10-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131327
00.000.208/0001-00;2023-12-31;7;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;131434;2023-10-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131434
00.000.208/0001-00;2023-12-31;8;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;132808;2023-11-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132808
00.000.208/0001-00;2023-12-31;9;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;132811;2023-11-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132811
00.000.208/0001-00;2023-12-31;10;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;133496;2024-01-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133496
00.000.208/0001-00;2023-12-31;11;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;133699;2024-01-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133699
00.000.208/0001-00;2023-12-31;12;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;133700;2024-01-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133700
00.000.208/0001-00;2023-12-31;13;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;135745;2024-04-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135745
00.001.180/0001-26;2023-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;127292;2023-05-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127292
00.001.180/0001-26;2023-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;128247;2023-06-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128247
00.001.180/0001-26;2023-12-31;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;128350;2023-06-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128350
00.001.180/0001-26;2023-12-31;4;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;128883;2023-07-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128883
00.001.180/0001-26;2023-12-31;5;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;130493;2023-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130493
00.001.180/0001-26;2023-12-31;6;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;130575;2023-08-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130575
00.001.180/0001-26;2023-12-31;7;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;130624;2023-08-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130624
00.001.180/0001-26;2023-12-31;8;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;130723;2023-08-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130723
00.001.180/0001-26;2023-12-31;9;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131028;2023-09-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131028
00.001.180/0001-26;2023-12-31;10;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131126;2023-09-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131126
00.001.180/0001-26;2023-12-31;11;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131252;2023-10-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131252
00.001.180/0001-26;2023-12-31;12;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131259;2023-10-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131259
00.001.180/0001-26;2023-12-31;13;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131370;2023-10-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131370
00.001.180/0001-26;2023-12-31;14;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;131379;2023-10-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131379
00.001.180/0001-26;2023-12-31;15;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133038;2023-12-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133038
00.001.180/0001-26;2023-12-31;16;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133148;2023-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133148
00.001.180/0001-26;2023-12-31;17;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133155;2023-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133155
00.001.180/0001-26;2023-12-31;18;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133356;2024-01-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133356
00.001.180/0001-26;2023-12-31;19;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133663;2024-01-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133663
00.001.180/0001-26;2023-12-31;20;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;133697;2024-01-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133697
00.001.180/0001-26;2023-12-31;21;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;135041;2024-03-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135041
00.001.180/0001-26;2023-12-31;22;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;135920;2024-04-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135920
00.001.180/0001-26;2023-12-31;23;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;136627;2024-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136627
00.070.698/0001-11;2023-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;127777;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127777
00.070.698/0001-11;2023-12-31;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;128938;2023-07-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128938
00.070.698/0001-11;2023-12-31;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;131875;2023-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131875
00.070.698/0001-11;2023-12-31;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;134039;2024-02-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134039
00.070.698/0001-11;2023-12-31;5;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;135804;2024-04-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135804
00.070.698/0001-11;2023-12-31;6;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;136076;2024-04-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136076
00.080.671/0001-00;2023-12-31;1;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;127861;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127861
00.080.671/0001-00;2023-12-31;2;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;132820;2023-11-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132820
00.080.671/0001-00;2023-12-31;3;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;133573;2024-01-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133573
00.192.769/0001-59;2023-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;FRE WEB;127620;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127620
00.194.724/0001-13;2023-12-31;1;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;127563;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127563
00.194.724/0001-13;2023-12-31;2;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;128568;2023-06-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128568
00.194.724/0001-13;2023-12-31;3;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;128936;2023-07-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128936
00.194.724/0001-13;2023-12-31;4;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;131804;2023-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131804
00.194.724/0001-13;2023-12-31;5;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;135506;2024-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135506
00.194.724/0001-13;2023-12-31;6;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;136985;2024-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136985
00.194.724/0001-13;2023-12-31;7;AES BRASIL OPERAÇÕES S.A.;026174;FRE WEB;137743;2024-05-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137743
00.242.184/0001-04;2023-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;127959;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127959
00.242.184/0001-04;2023-12-31;2;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;129257;2023-07-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129257
00.242.184/0001-04;2023-12-31;3;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;130071;2023-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130071
00.242.184/0001-04;2023-12-31;4;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;133170;2023-12-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133170
00.242.184/0001-04;2023-12-31;5;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;133436;2024-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133436
00.242.184/0001-04;2023-12-31;6;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;134444;2024-03-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134444
00.242.184/0001-04;2023-12-31;7;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;135194;2024-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135194
00.242.184/0001-04;2023-12-31;8;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;137699;2024-05-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137699
00.242.184/0001-04;2023-12-31;9;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;137763;2024-05-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137763
00.272.185/0001-93;2023-12-31;1;CIMS S.A.;014818;FRE WEB;127709;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127709
00.272.185/0001-93;2023-12-31;2;CIMS S.A.;014818;FRE WEB;134548;2024-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134548
00.336.701/0001-04;2023-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;127687;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127687
00.336.701/0001-04;2023-12-31;2;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;128656;2023-06-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128656
00.336.701/0001-04;2023-12-31;3;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;128846;2023-07-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128846
00.336.701/0001-04;2023-12-31;4;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;128896;2023-07-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=128896
00.336.701/0001-04;2023-12-31;5;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;129149;2023-07-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129149
00.336.701/0001-04;2023-12-31;6;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;129790;2023-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=129790
00.336.701/0001-04;2023-12-31;7;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;130574;2023-08-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130574
00.336.701/0001-04;2023-12-31;8;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;130711;2023-08-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130711
00.336.701/0001-04;2023-12-31;9;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;130894;2023-09-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130894
00.336.701/0001-04;2023-12-31;10;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;131148;2023-09-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131148
00.336.701/0001-04;2023-12-31;11;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;131620;2023-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=131620
00.336.701/0001-04;2023-12-31;12;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;132716;2023-11-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=132716
00.336.701/0001-04;2023-12-31;13;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;133597;2024-01-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133597
00.336.701/0001-04;2023-12-31;14;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;135784;2024-04-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135784
00.336.701/0001-04;2023-12-31;15;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;136065;2024-04-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136065
00.359.742/0001-08;2023-12-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;FRE WEB;127776;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127776
00.359.742/0001-08;2023-12-31;2;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;FRE WEB;133423;2024-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133423
00.359.742/0001-08;2023-12-31;3;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;FRE WEB;134771;2024-03-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=134771
00.383.281/0001-09;2023-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;FRE WEB;127573;2023-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=127573
00.383.281/0001-09;2023-12-31;2;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;FRE WEB;130780;2023-08-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130780
00.383.281/0001-09;2023-12-31;3;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;FRE WEB;133015;2023-12-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=133015
