CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;123870;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2022-05-27;;2022-05-27;Os serviços contratados compreendem a auditoria independente das demonstrações financeiras da Companhia que compreendem os balanços patrimoniais referentes ao exercício social findo em 31 de dezembro de 2022 e ao período de três meses findo em 31 de março de 2023, bem como as demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa para o exercício findo em 31 de dezembro de 2022 e para o período de três meses findo em 31 de março de 2023, elaboradas de acordo com as práticas contábeis adotadas no Brasil, emitidas pelo Comitê de Pronunciamentos Contábeis - CPC e aprovadas pela Comissão de Valores Mobiliários - CVM ("BR GAAP") e as normas internacionais de relatório financeiro (Internacional Financial Reporting Standards - "IFRS"), emitidas pelo "Internacional Accounting Standards Board - "IASB";Pelos serviços prestados durante o exercício social de 2022 e durante o período de três meses findo em 31 de março de 2023, a remuneração total do auditor independente foi de R$ 490.576 referente à auditoria independente das demonstrações financeiras da Companhia referentes ao exercício social encerrado em 31 de dezembro de 2022 e ao trimestre encerrado em 31 de março de 2023, preparadas de acordo com as BR GAAP e as IFRS.;Não aplicável.;Não aplicável.
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;121823;RSM ACAL Auditores Independentes S/S;;07377136000164;011444;Nacional;2021-01-01;;2021-01-01;Serviços de Auditoria;22.700,00;A contratação ocorreu em atendimento ao artigo 31 da ICVM 308, em função da rotatividade de auditores independentes a cada período de 5 anos.;N/A
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;122919;CONSULT - AUDITORES INDEPENDENTES;;77998276000135;002755;Nacional;2019-08-15;;2019-08-15;Serviços técnicos especializados em auditoria independente das demonstrações contábeis.;Exercício 2022: Honorários de Serviço de Auditoria - R$ 70.993,45 Relato Integrado - serviço asseguração limitada por auditor independente do Relatório de Gestão Anual ref. 2021 na forma de Relato Integrado - R$ 15.000,00. Total: R$ 85.993,45;Nova licitação;Não houve discordância.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;121940;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000805;002879;Nacional;2022-03-24;;2022-03-24;Exame do balanço patrimonial da ATOM em 31 de dezembro de 2022 e as correspondentes demonstrações do resultado, do resultado abrangente das mutações do patrimônio líquido, dos fluxos de caixa e do valor adicionado, do exercício a findar nessa data, incluindo as respectivas notas explicativas, preparados de acordo com as práticas contábeis adotadas no Brasil, bem como o balanço patrimonial consolidado da Atom e empresas controladas em 31 de dezembro de 2022, as demonstrações consolidadas do resultado, do resultado abrangente, dos fluxos de caixa e do valor adicionado do exercício a findar nessa data, incluindo as respectivas notas explicativas, de acordo com as normas internacionais de relatório financeiro - IFRS emitidas pelo International Accounting Standards Board (IASB) e de acordo com as práticas contábeis adotadas no Brasil. O exame será conduzido com o objetivo de expressar a opinião sobre as demonstrações financeiras. Em conjunto com a auditoria anual, será realizada a revisão das informações contábeis trimestrais da ATOM dos períodos a findar em 31 de março, 30 de junho e 30 de setembro de 2022. Revisão realizada de acordo com normas CFC e IAASB.;A remuneração pelos serviços de auditoria externa está fixada em R$ 155.000,00/ano.;A substituição da empresa de auditoria independente da Companhia foi realizada em cumprimento ao item 4.17 do Acordo de Acionistas realizado entre EXAME LTDA. e WHPH PARTICIPAÇÕES E EMPREENDIMENTOS S.A. em 30 de março de 2021.;N/A
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;121941;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936000800;004715;Nacional;2023-03-23;;2023-01-01;Prestação de serviços de auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas da Companhia para o exercício a findar-se em 31 de dezembro de 2023. A EY Brasil também foi contratada para fazer a revisão e emitir um relatório sobre as informações financeiras intermediárias não auditadas da Companhia dos períodos a findar-se em 31 de março de 2023, 30 de junho de 2023 e 30 de setembro de 2023.;A remuneração pelos serviços de auditoria externa está fixada em R$ 112.000,00/ano líquido de impostos.;A referida mudança de auditores independentes dar-se-á por término do contrato de prestação de serviços entre as partes. A substituição da empresa de auditoria decorre de decisão da Administração da Companhia, não tendo sido causada por qualquer discordância de opinião em relação à empresa de auditoria que ora é substituída.;N/A
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;123746;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2021-12-09;;2021-12-09;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a.honorários relativos a serviços de auditoria externa: R$ 996.045,36 i.Auditoria das Demonstrações Financeiras: R$ 511.368,00ii.Revisão Especial das Informações Trimestrais (ITR): R$ 244.745,60iii.Revisão Tributária: R$ 239.931,76 iv.Outros serviços de Auditoria: não houve. b.honorários relativos a quaisquer outros serviços prestados: não houve prestação de outros serviços, além dos serviços de auditoria externa mencionados no item 2.2.a.;não houve substituição do auditor.;não houve substituição do auditor.
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;123284;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2016-01-01;;2016-01-01;Serviço de auditoria das Demonstrações Financeiras referentes ao exercício social encerrado em 31 de dezembro de 2022 e das Informações trimestrais individuais de 2022;R$ 967.000,00;Não ocorreu substituição do auditor.;Não aplicável.
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;119037;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112002417;002879;Nacional;2022-01-01;;2022-01-01;Serviços de Auditoria da Holding e de seus ativos;R$912.300,00;Com a determinação a respeito da rotação a cada 5 (cinco) anos, conforme Instrução CVM 308/1999, a alteração obrigatória aconteceu no início do exercício de 2022.;Não há.
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;122372;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2017-10-31;;2018-01-01;"Exercício 2022: A proposta dos Auditores Independentes inclui: (i) a emissão de parecer de auditoria das Demonstrações Financeiras Societárias (DF's) e Demonstrações Contábeis Regulatórias (DCR's) exigidas para as controladas com o regime de concessão de serviço público em 31 de dezembro de 2022 (ii) emissão de relatório de revisão das nossas ITR's nas respectivas datas-base 31/03/2022, 30/06/2022 e 30/09/2022 (iii) revisão dos controles de SCIRF e (iv) revisão do Relatório Anual de Sustentabilidade.Exercício 2021: A proposta dos Auditores Independentes inclui: (i) a emissão de parecer de auditoria das Demonstrações Financeiras Societárias (DF's) e Demonstrações Contábeis Regulatórias (DCR's) exigidas para as controladas com o regime de concessão de serviço público em 31 de dezembro de 2021 (ii) emissão de relatório de revisão das nossas ITR's nas respectivas datas-base 31/03/2021, 30/06/2021 e 30/09/2021 (iii) revisão dos controles de SCIRF e (iv) revisão do Relatório Anual de Sustentabilidade. Exercício 2020: A proposta dos Auditores Independentes inclui: (i) a emissão de parecer de auditoria das Demonstrações Financeiras Societárias (DF's) e Demonstrações Contábeis Regulatórias (DCR's) exigidas para as controladas com o regime de concessão de serviço público em 31 de dezembro de 2020 (ii) emissão de relatório de revisão das nossas ITR's nas respectivas datas-base 31/03/2020, 30/06/2020 e 30/09/2020 (iii) revisão dos controles de SCIRF e (iv) revisão do Relatório Anual de Sustentabilidade. ";Para o exercício social de 2022 o montante total da remuneração dos auditores independentes referente a Emissão de parecer de auditoria das DF's e DCR's de 31 de dezembro de 2022, revisão do Relatório Anual de Sustentabilidade, revisão das nossas ITR's para os períodos de 31/03/2022, 30/06/2022 e 30/09/2022 e revisão dos controles de SCIRF, consolidado, foi de R$154.525,67.;Mudança de Auditor conforme art. 31 da Resolução CVM 23 "Art. 31. O Auditor Independente - Pessoa Natural e o Auditor Independente - Pessoa Jurídica não podem prestar serviços para um mesmo cliente, por prazo superior a cinco exercícios sociais consecutivos, exigindo-se um intervalo mínimo de três exercícios sociais para a sua recontratação. ";Não aplicável
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;122373;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000201;002879;Nacional;2022-12-09;;2023-01-01;Exercícios de 2023 a 2025:  A proposta dos Auditores Independentes inclui: (i) a emissão de parecer de auditoria das Demonstrações Financeiras Societárias (DFs)  (ii) Demonstrações Contábeis Regulatórias (DCRs) exigidas para as controladas com o regime de concessão de serviço público (iii) revisão das Informações Trimestrias (ITRs) nas respectivas datas-base 31/03/2023 a 2025 30/06/2023 a 2025 e 30/09/2023 a 2025 (iv) Relatório Anual de Sustentabilidade 2023 a 2025 e (v) dos controles internos (SCIRF), sendo os exercícios de 2024 e 2025 em todos os procedimentos, com reconduções condicionadas à aprovação anual no âmbito do Comitê de Auditoria e Conselho de Administração anualmente.;Não aplicável, tendo em vista que a PWC não prestou serviços à Companhia no exercício social encerrado em 31/12/2022.;Não aplicável, tendo em vista que a PWC não foi substituída.;Não aplicável
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;122249;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000390;004189;Nacional;2014-05-16;;2014-05-16;Examinar as demonstrações financeiras da Litel Participações S.A., e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa, bem como as correspondentes notas explicativas, incluindo as políticas contábeis significativas e outras informações elucidativas.;Pelos serviços prestados a KPMG  fará jus ao recebimento de honorários no valor de R$ 87.300,00 anuais. O valor dos honorários anuais serão reajustados conforme índice inflacionário IPCA acumulado dos últimos 12 meses a partir de junho de 2014;rodízio obrigatório de auditores;Não aplicável
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;122250;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-04-05;;2019-04-05;Examinar as demonstrações financeiras da Litel Participações S.A., e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa, bem como as correspondentes notas explicativas, incluindo as políticas contábeis significativas e outras informações elucidativas.;Valor anual de R$160.000,00 (cento e sessenta mil reais), sujeito a atualização pelo IGP-M/FGV;Rodízio obrigatório de auditores;Não aplicável
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;124582;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-10-15;;2019-10-15;(i) Auditoria das demonstrações contábeis individuais, elaboradas de acordo com as práticas contábeis adotadas no Brasil, e consolidadas, de acordo com os padrões internacionais de relatório financeiro (IFRS), elaboradas pela Administração em português e em reais (R$), correspondente aos exercícios findos em 31/12/2019, 2020, 2021 e 2022, incluindo a Revisão das Informações Trimestrais (ITR's) dos períodos findos em 30 de setembro de 2019, 2020, 2021 e 2022, 31 de março e 30 de junho de 2020, 2021 e 2022 (ii) Emissão de relatório de procedimentos pré-acordados em conexão à emissão de títulos representativos de dívida (bonds) em 2020 (iii) Serviços extraordinários relacionados à reestruturação societária e combinação de negócios em 2021 e (iv) Emissão de carta conforto para Certificado de Recebíveis Imobiliários (CRI) em 2022.;O valor dos honorários de 2022 relativos a serviços de auditoria externa foi de R$ 3.500.614,09, e relativo a serviço extraordinário relacionado a emissão da carta conforto para Certificado de Recebíveis Imobiliários (CRI), foi de R$ 293.877,55.;Não aplicável;Não aplicável
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;124583;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2023-06-28;;2022-01-01;(i) Auditoria das demonstrações contábeis individuais, elaboradas de acordo com as práticas contábeis adotadas no Brasil, e consolidadas, de acordo com os padrões internacionais de relatório financeiro (IFRS), elaboradas pela Administração em português e em reais (R$), correspondente aos exercícios findos em 31 de dezembro de 2021, 2022 e 2023, incluindo a Revisão das Informações Trimestrais (ITR's) dos períodos findos em 31 de março, 30 de junho, 30 de setembro, 2022 e 2023 e o Saldo de abertura de 2021 (01/01/2021).;Não aplicável;Substituição necessária em função dos Fatos Relevantes de 13 e 14 de junho de 2023.;Não aplicável
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;123500;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2021-12-16;;2022-01-01;Revisão das informações financeiras trimestrais a partir do período dos três meses findos em 31 de março de 2022, e auditoria das demonstrações financeiras a partir do exercício de 2022 e emissão de carta conforto para a 19ª emissão de Debentures da companhia.;A remuneração total da DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA paga pela Companhia e suas controladas no último exercício social e no período de 9 (nove) meses findo em 30 de setembro de 2023 foi de:(i) R$4.850, referente aos serviços de auditoria das demonstrações financeiras em 2022(ii) R$5.328, referente aos serviços de auditoria das demonstrações financeiras em 2023 e(iii) R$1.250 referente aos serviços de emissão da carta conforto para a 19ª emissão de debentures em 2023 ;Não houve substituição dos auditores independentes.;Não houve substituição dos auditores independentes.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;121867;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2022-03-17;;2022-01-01;Os serviços prestados pelos auditores independentes compreendem (i) a auditoria das demonstrações financeiras intermediárias individuais e consolidadas da Companhia referentes ao período de 6 (seis) meses findo em 30 de junho de 2023 (ii) a auditoria das demonstrações financeiras intermediárias da Companhia referentes ao período de 6 (seis) meses findo em 30 de junho de 2022 (somente para fins comparativos com os relatórios do item (i), sem emissão de relatório específico) e (iii) auditoria das demonstrações financeiras individuais e consolidadas para o exercício social a se encerrar em 31 de dezembro de 2023 (v) revisão das informações contábeis intermediárias da Companhia referente ao período de 3 (três) meses findo em 31 de março de 2023 (vi) revisão das informações contábeis intermediárias individuais e consolidadas da Companhia referentes ao período de 9 (nove) meses a findar em 30 de setembro de 2023.;A remuneração aos auditores independentes relativa ao exercício de 2023 foi de: R$ 1.220.991,25 relativo aos serviços de auditoria da Let's Rent a Car S.A. e suas controladas.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
