CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;303216;Capital Integralizado;2021-01-14;1503384332.12;;277383387;0;218370694
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;311508;Capital Subscrito;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;311509;Capital Integralizado;2009-04-07;961793701.46;;402202308;384203962;786406270
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;311191;Capital Emitido;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;311192;Capital Subscrito;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;311193;Capital Integralizado;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;311194;Capital Autorizado;1995-07-27;0.00;;600000000;0;600000000
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;316486;Capital Emitido;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;316487;Capital Subscrito;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;316488;Capital Integralizado;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;316489;Capital Autorizado;2024-05-21;0.00;21/05/2024;435084487;0;435084487
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;314019;Capital Emitido;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;314020;Capital Subscrito;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;314021;Capital Integralizado;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;314022;Capital Autorizado;2018-04-25;0.00;;1000000000;2000000000;3000000000
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;310346;Capital Emitido;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;310347;Capital Subscrito;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;310348;Capital Integralizado;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;286163;Capital Autorizado;1995-11-13;200000000.00;;200000;0;200000
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314117;Capital Integralizado;2021-08-09;4663323193.63;;142807784;19;142807803
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314118;Capital Integralizado;2020-10-23;4663257541.95;;136242616;19;136242635
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314119;Capital Integralizado;2019-06-21;4663149572.80;;125445701;19;125445720
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314120;Capital Integralizado;2018-05-02;4638836550.90;;112303527;19;112303546
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314121;Capital Integralizado;2016-10-11;4558858541.93;;367645433926725;66665012;367645500591737
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314122;Capital Emitido;2010-04-29;1722965684.34;29042010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314123;Capital Subscrito;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;314124;Capital Autorizado;2003-05-14;1600000000.00;;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;312091;Capital Subscrito;2022-12-15;57899999.89;;48786;37680;86466
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;314362;Capital Emitido;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;314363;Capital Subscrito;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;314364;Capital Integralizado;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;314365;Capital Autorizado;1998-12-29;58046618.52;;0;0;0
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;311626;Capital Subscrito;2022-07-05;10200000.00;;69150262;0;69150262
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;311627;Capital Integralizado;2022-07-05;10200000.00;;69150262;0;69150262
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;313897;Capital Emitido;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;313898;Capital Subscrito;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;313899;Capital Integralizado;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;313900;Capital Autorizado;2011-04-29;263834773.86;;2400000000;0;2400000000
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;314711;Capital Emitido;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;314712;Capital Subscrito;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;314713;Capital Integralizado;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;293355;Capital Emitido;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;293356;Capital Subscrito;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;293357;Capital Integralizado;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;293358;Capital Autorizado;1996-12-15;1500000000.00;;11764889;0;11764889
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;313590;Capital Autorizado;2021-06-23;1800000000.00;;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;313591;Capital Emitido;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;313592;Capital Subscrito;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;313593;Capital Integralizado;2019-12-17;102489376.00;;40760818;0;40760818
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;315242;Capital Emitido;2024-04-29;6848632783.73;;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;315243;Capital Subscrito;2024-04-29;6848632783.73;;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;315244;Capital Integralizado;2024-04-29;6848632783.73;;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;315245;Capital Autorizado;2024-04-29;5000000000.00;;0;0;0
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;294664;Capital Integralizado;1996-06-01;50000.00;;100;0;100
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;312682;Capital Emitido;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;312683;Capital Autorizado;2024-04-27;963127672.14;;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;312684;Capital Integralizado;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;312685;Capital Subscrito;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;313586;Capital Emitido;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;313587;Capital Subscrito;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;313588;Capital Integralizado;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;313589;Capital Autorizado;2023-02-27;1835048020.78;;1;0;1
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;316516;Capital Emitido;2024-04-22;1616813742.84;n/a;89442291;0;89442291
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;316517;Capital Subscrito;2024-04-22;1616813742.84;n/a;89442291;0;89442291
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;316518;Capital Integralizado;2024-04-22;1616813742.84;n/a;89442291;0;89442291
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;316519;Capital Autorizado;2020-08-07;0.00;;510557709;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;312886;Capital Emitido;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;312887;Capital Integralizado;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;312888;Capital Subscrito;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;314766;Capital Emitido;2024-05-14;956336246.96;N/A;390318916;0;390318916
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;314767;Capital Subscrito;2024-05-14;956336246.96;N/A;390318916;0;390318916
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;314768;Capital Integralizado;2024-05-14;956336246.96;N/A;390318916;0;390318916
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;314769;Capital Autorizado;2020-08-12;3000000000.00;N/A;0;0;0
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;312996;Capital Emitido;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;312997;Capital Subscrito;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;312998;Capital Integralizado;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;312999;Capital Autorizado;2014-06-04;3125000000.00;;2500000000;625000000;3125000000
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;309030;Capital Emitido;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;309031;Capital Subscrito;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;309032;Capital Integralizado;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;309033;Capital Autorizado;2013-04-30;12000000000.00;;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;312499;Capital Emitido;2023-07-13;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;312500;Capital Subscrito;2023-07-13;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;312501;Capital Integralizado;2023-07-13;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;312502;Capital Autorizado;2023-07-03;0.00;;1825000000;0;1825000000
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;313282;Capital Subscrito;2022-04-29;1015904.66;12 MESES;1377041061;0;1377041061
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;313283;Capital Subscrito;2021-04-30;895904.66;12 MESES;446808503;0;446808503
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;313284;Capital Emitido;2023-04-28;1135904.66;12 meses;4234183008;0;4234183008
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;313285;Capital Integralizado;2024-04-30;1235904.66;12 meses;10116536859;0;10116536859
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;314495;Capital Emitido;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;314496;Capital Subscrito;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;314497;Capital Integralizado;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;314498;Capital Autorizado;2023-05-04;1000000000.00;;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;309061;Capital Emitido;2006-01-13;77421581.00;;77421581;0;77421581
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;309062;Capital Subscrito;2006-01-13;77421581.00;;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;309063;Capital Integralizado;2006-01-13;77421581.00;;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;314324;Capital Emitido;2023-12-15;612193667.65;;9495733;9412283;18908016
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;314325;Capital Subscrito;2023-12-15;612193667.65;;9495733;9412283;18908016
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;314326;Capital Integralizado;2023-12-15;612193667.65;;9495733;9412283;18908016
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301992;Capital Emitido;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301993;Capital Subscrito;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301994;Capital Integralizado;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301995;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301996;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301997;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301998;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;301999;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;302000;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;302001;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;302002;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;312004;Capital Emitido;2021-11-30;66071387.00;30/11/2021;6607138700;0;6607138700
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;312005;Capital Subscrito;2021-11-30;66071387.00;30/11/2021;6607138700;0;6607138700
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;312006;Capital Integralizado;2021-11-30;66071387.00;30/11/2021;6607138700;0;6607138700
01.989.044/0001-59;2023-12-31;1;127736;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;294911;Capital Integralizado;1997-06-16;50000.00;;1000;0;1000
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;312133;Capital Emitido;2023-04-26;2853248000.34;;1125427;0;1125427
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;312134;Capital Subscrito;2023-04-26;2853248000.34;;1125427;0;1125427
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;312135;Capital Integralizado;2023-04-26;2853248000.34;;1125427;0;1125427
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;312432;Capital Emitido;2023-12-07;5461655819.00;N/A;546165581900;0;546165581900
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;312433;Capital Subscrito;2023-12-07;5461655819.00;N/A;546165581900;0;546165581900
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;312434;Capital Integralizado;2023-12-07;5461655819.00;N/A;546165581900;0;546165581900
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;312435;Capital Autorizado;2023-03-01;5000000000.00;N/A;0;0;0
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;315109;Capital Emitido;2024-04-29;12689598260.00;;32872880971;0;32872880971
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;315110;Capital Subscrito;2024-04-29;12689598260.00;;32872880971;0;32872880971
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;315111;Capital Integralizado;2024-04-29;12689598260.00;;32872880971;0;32872880971
