CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Bonus_Valor_Minimo;Bonus_Valor_Maximo;Bonus_Valor_Metas_Atingidas;Bonus_Valor_Efetivo;Participacao_Valor_Minimo;Participacao_Valor_Maximo;Participacao_Valor_Metas_Atingidas;Participacao_Valor_Efetivo
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;9.00;8.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1896895.05
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;8.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4825444.67
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;9.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3966908.81
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.00;10.00;0.00;0.00;0.00;0.00;0.00;1396388.37;1396388.37;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;10.75;10.75;0.00;3761029.30;3761029.30;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;0.00;3575071.59;3575071.59;1671703.65;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho de Administração;10.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.83;5.83;0.00;539105.56;539105.56;539105.56;0.00;2116920.46;2116920.46;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;6.00;0.00;0.00;0.00;0.00;0.00;439413.91;439413.91;382506.64
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Conselho Fiscal;4.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1023082.84;8184662.72;6138497.04;8330094.25
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;13.00;0.00;0.00;0.00;0.00;1035515.10;8284120.80;8284120.80;6213090.60
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;13.00;13.00;0.00;0.00;0.00;0.00;1015210.90;8121687.20;8121687.20;6197677.82
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;7.00;0.00;8590275.00;0.00;0.00;0.00;8590275.00;8590275.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;1955000.00;0.00;6000000.00;6000000.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;0.00;150000.00;150000.00;0.00;0.00;150000.00;0.00;150000.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;10000.00;10000.00;0.00;0.00;0.00;150000.00;0.00;150000.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;2.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.75;2.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.00;8.00;0.00;0.00;0.00;1030466.43;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;929062.39;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;1126430.01;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;3.00;0.00;384187.00;240117.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;3.00;0.00;368621.00;230388.00;154548.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;3.00;0.00;343541.00;214713.00;142093.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2020-01-01;2020-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2020-01-01;2020-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;7.00;3.00;0.00;204268.00;126657.00;134233.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.00;15000000.00;15000000.00;10761000.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;4.17;0.00;8000000.00;8000000.00;7994578.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Diretoria Estatutária;10.33;9.00;0.00;7000000.00;7000000.00;7858593.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;987191.90;4935959.48;3948767.58;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;7.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;932419.03;4662095.16;3729676.12;2748971.19
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;383381.72;1916908.59;1533526.87;2715433.75
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Conselho de Administração;11.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;8.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;741189.59;3705947.94;2964758.35;2178383.85
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;2.00;0.00;714000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.00;1363000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;2512000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.00;2029000.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Conselho de Administração;12.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Diretoria Estatutária;11.00;11.00;5463546.62;18029703.84;10927093.24;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Conselho de Administração;10.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Diretoria Estatutária;6.83;6.83;5365253.41;17705336.24;10807434.63;10139805.03;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Conselho de Administração;10.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;6.50;4777921.08;12887592.63;8370970.98;8201555.39;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;Conselho de Administração;10.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;Conselho Fiscal;4.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;Diretoria Estatutária;6.50;6.50;7373494.95;14834485.29;10617403.79;7247980.69;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;21.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;9.00;9.00;0.00;21986211.00;21986211.00;33291147.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;8.00;4.00;0.00;21986211.00;21986211.00;33291147.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;20.83;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0.00;24364330.00;25178104.00;45885221.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;8.75;4.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.42;10.42;0.00;31296120.00;31317991.00;53121049.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
