CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;0
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;0
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;Liderança;2;27;1;1;0;1;0
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;Não-liderança;3;190;9;47;0;1;0
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Liderança;4;96;1;8;0;0;0
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Não-liderança;17;950;71;277;4;0;16
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Liderança;0;26;0;0;0;0;0
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Não-liderança;0;29;4;1;0;0;0
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;Liderança;6;303;46;321;0;0;47
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;Não-liderança;82;2253;668;3789;5;5;368
03.303.999/0001-36;2023-12-31;2;137637;DTCOM - DIRECT TO COMPANY S.A.;Liderança;0;5;0;0;0;0;0
03.303.999/0001-36;2023-12-31;2;137637;DTCOM - DIRECT TO COMPANY S.A.;Não-liderança;0;11;1;0;0;0;23
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;Liderança;0;15;6;30;0;0;0
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;Não-liderança;14;336;195;655;4;14;0
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;3;120;6;22;0;0;9
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;63;1579;698;1771;20;0;193
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Liderança;0;70;3;62;0;0;1
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Não-liderança;16;594;277;1388;4;0;19
03.494.776/0001-01;2023-12-31;3;136822;AMMO VAREJO S.A.;Liderança;1;117;3;13;0;0;41
03.494.776/0001-01;2023-12-31;3;136822;AMMO VAREJO S.A.;Não-liderança;1;353;53;110;1;0;249
03.758.318/0001-24;2023-12-31;11;136579;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Liderança;1;121;5;58;0;0;11
03.758.318/0001-24;2023-12-31;11;136579;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Não-liderança;34;751;250;916;2;0;110
03.795.050/0001-09;2023-12-31;3;135958;TERMOPERNAMBUCO S.A.;Liderança;1;5;0;2;0;0;0
03.795.050/0001-09;2023-12-31;3;135958;TERMOPERNAMBUCO S.A.;Não-liderança;3;16;9;15;1;0;6
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;Liderança;8;180;12;24;0;0;85
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;Não-liderança;22;496;47;135;1;0;1769
03.847.461/0001-92;2023-12-31;7;137283;BRADESPAR S.A.;Liderança;1;11;0;0;0;0;7
03.847.461/0001-92;2023-12-31;7;137283;BRADESPAR S.A.;Não-liderança;0;1;0;0;0;0;1
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;Liderança;20;1036;84;642;1;363;537
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;Não-liderança;514;6026;1896;7939;54;6295;7127
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;Liderança;5;135;6;23;0;0;0
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;Não-liderança;43;1976;205;737;5;0;9
04.030.182/0001-02;2023-12-31;3;135675;CABINDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;1
04.030.182/0001-02;2023-12-31;3;135675;CABINDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;1
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;10;136;29;302;2;0;5
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;94;1229;1009;5320;42;0;70
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0;0;1
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Liderança;1;47;2;16;0;2;0
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Não-liderança;3;232;49;205;2;316;0
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Liderança;9;230;6;39;1;0;20
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Não-liderança;49;1226;133;479;1;0;86
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Liderança;1;67;2;8;0;0;0
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Não-liderança;7;289;34;87;1;0;0
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Liderança;0;255;66;0;0;3;0
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Não-liderança;0;2513;1865;0;0;191;0
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Liderança;0;0;0;0;0;0;4
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Não-liderança;0;0;0;0;0;0;12
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Liderança;0;53;10;35;0;0;8
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Não-liderança;1;232;92;278;1;0;65
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Liderança;2;174;3;73;0;0;23
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Não-liderança;31;524;84;481;2;0;93
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Liderança;1;16;1;2;0;0;0
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Não-liderança;0;73;8;20;0;0;0
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Liderança;1;56;1;10;0;0;0
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Não-liderança;0;46;16;24;2;0;0
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Liderança;5;81;10;23;0;0;0
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Não-liderança;15;494;300;238;0;0;0
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Liderança;3;45;13;67;0;0;1
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;21;293;73;715;0;0;25
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Liderança;7;275;26;320;0;0;0
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Não-liderança;32;937;126;1144;0;0;0
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Liderança;0;2;1;0;0;0;0
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Não-liderança;0;6;2;0;0;0;0
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Liderança;4;223;47;375;0;0;0
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Não-liderança;36;561;131;1206;7;6;0
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Liderança;11;228;56;308;0;0;4
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Não-liderança;104;3496;625;3259;6;0;3
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Liderança;0;0;0;0;0;0;1398
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Não-liderança;0;0;0;0;0;0;12184
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Liderança;0;34;1;10;0;0;0
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Não-liderança;1;139;6;56;0;0;0
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Liderança;28;1786;129;1762;15;0;194
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Não-liderança;251;18772;4102;35418;212;0;4490
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Liderança;6;116;29;76;0;36;9
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Não-liderança;10;390;212;726;0;323;56
