CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Raul Balbi Sollero;Diretor Presidente
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Ivo Sergio Baran;Diretor de Relações com Investidores
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;André Luis da Costa Gaia;Diretor de Relações com Investidores
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Antonio Wrobleski Filho;Diretor Presidente
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Rafael Bergman;Diretor de Relações com Investidores
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Pedro Marcus Lira Palma;Diretor Presidente
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;BRUNO DE MELLO BOMENY;Diretor Presidente/Relações com Investidores
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Guilherme Segalla de Mello;Diretor Presidente/Relações com Investidores
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Lener Silva Jayme;Diretor Presidente
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Leonardo Da Silva Lucas Tavares De Lima;Diretor de Relações com Investidores
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sheyla Castro Resende;Diretor Presidente
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Felipe Dantas Rocha Coelho;Diretor de Relações com Investidores
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Alexsandro Broedel;Diretor Presidente
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Renato Lulia Jacob;Diretor de Relações com Investidores
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Armando Marchesan Neto;Diretor Presidente
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Ian Masini Monteiro de Andrade;Diretor de Relações com Investidores
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Diego Augusto Ribeiro Silva;Diretor de Relações com Investidores
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Ricardo José Soavinski;Diretor Presidente
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Osvaldo Ayres Filho;Diretor Presidente
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Bianca Nasser Patrocínio;Diretor de Relações com Investidores
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Miguel de Souza Gularte;Diretor Presidente
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Fabio Luis Mendes Mariano;Diretor de Relações com Investidores
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Pedro Alvarenga d'Almeida;Diretor de Relações com Investidores
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Marcos Ribeiro Leite;Diretor Presidente
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Carlos Vinicius de Sa Roriz;Diretor Presidente/Relações com Investidores
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;CLARISSA BARRETO MODAFFERI;Diretor de Relações com Investidores
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;JOSÉ RENATO DE ALMEIDA GONÇALVES TOURINHO;Diretor Presidente
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Alberto Ribeiro Guth;Diretor de Relações com Investidores
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;Antônio Walter dos Santos Pinheiro Filho;Diretor Presidente
01.968.293/0001-68;2023-12-31;3;135774;ELETRORIVER S.A.;Walter Nunes Seijo Neto;Diretor de Relações com Investidores
01.989.044/0001-59;2023-12-31;1;127736;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;BRUNO DE MELLO BOMENY;Diretor Presidente/Relações com Investidores
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Marco Antonio Villela de Abreu;Diretor Presidente
02.016.440/0001-62;2023-12-31;5;135827;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Yuehui Pan;Diretor de Relações com Investidores
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;Milton Salgado Rangel Neto;Diretor Presidente
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;Roberto Bernardes Monteiro;Diretor de Relações com Investidores
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;AMOS GENISH;Diretor Presidente
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;JOSÉ MIGUEL VILELA JÚNIOR;Diretor de Relações com Investidores
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Roberto de Souza Santos;Diretor Presidente/Relações com Investidores
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Paulo Sérgio Kakinoff;Diretor Presidente
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Domingos de Toledo Piza Falavina;Diretor de Relações com Investidores
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Armando José Pereira de Barros;Diretor de Relações com Investidores
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Rafael Alcides Raphael;Diretor Presidente
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;George Abi-Rihan Cordeiro;Diretor de Relações com Investidores
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;ANA PAULA SOARES DE AZAVEDO;Diretor Presidente
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;JULIO LUIZ BAPTISTA LOPES;Diretor de Relações com Investidores
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;PAULO WU DIRICKSON;Diretor de Relações com Investidores
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;GERVÁZIO SINOPOLI;Diretor Presidente
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Thiago Moura e Silva;Diretor de Relações com Investidores
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;FABIANO BUSNARDO;Diretor Presidente
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;JOSÉ WILSON DE SOUZA JUNIOR;Diretor de Relações com Investidores
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;MANACESAR LOPES DOS SANTOS;Diretor de Relações com Investidores
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;HUMBERTO AUGUSTO MOTA DA SILVA;Diretor Presidente/Relações com Investidores
02.286.479/0001-08;2023-12-31;6;133773;LOCALIZA FLEET S.A.;Bruno Sebastian Lasansky;Diretor Presidente
02.286.479/0001-08;2023-12-31;6;133773;LOCALIZA FLEET S.A.;Rodrigo Tavares Gonçalves de Sousa;Diretor de Relações com Investidores
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NANCI TURIBIO GUIMARÃES;Diretor de Relações com Investidores
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;FÁBIO PEREIRA MAIA;Diretor Presidente
02.302.100/0001-06;2023-12-31;3;134202;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Claudinei Almir Paris;Diretor de Relações com Investidores
02.302.100/0001-06;2023-12-31;3;134202;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Dyogenes Rosi;Diretor Presidente
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Pablo Andrés Fernández Uhart;Diretor de Relações com Investidores
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Marcio Rea;Diretor Presidente
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Antonio Sergio Casanova;Diretor Presidente
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;Renato de Almeida Rocha;Diretor de Relações com Investidores
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Alexandre Palhares;Diretor de Relações com Investidores
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;Marco Billi;Diretor Presidente
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Ramón Pérez Arias Filho;Diretor de Relações com Investidores
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;Nivaldo Tuba;Diretor Presidente
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Fernando Biancardi Cirne;Diretor Presidente
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;Rafael Chamas Alves;Diretor de Relações com Investidores
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Franco Maria Giuseppe Pallamolla;Diretor Presidente
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;João Manuel Martins Ramos Canha;Diretor de Relações com Investidores
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;Carlos Raimar Schoeninger;Diretor Presidente/Relações com Investidores
02.382.073/0001-10;2023-12-31;5;136556;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Pedro Augusto de Araújo Freitas;Diretor Presidente
02.382.073/0001-10;2023-12-31;5;136556;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;André Pires de Oliveira Dias;Diretor de Relações com Investidores
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Rafael Bergman;Diretor de Relações com Investidores
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;Pedro Marcus Lira Palma;Diretor Presidente
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Marcelo José Cavalcanti Lopes;Diretor Presidente
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;Renato de Almeida Rocha;Diretor de Relações com Investidores
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;Fausto Camilotti;Diretor Presidente/Relações com Investidores
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Alberto Mario Griselli;Diretor Presidente
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;Alberto Mario Griselli;Diretor de Relações com Investidores
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;Gustavo Estrella;Diretor Presidente
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;YueHui Pan;Diretor de Relações com Investidores
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Fausto Camilotti;Diretor Presidente/Relações com Investidores
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;Eduardo Antonio Gori Sattamini;Diretor Presidente/Relações com Investidores
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Rafael Bergman;Diretor de Relações com Investidores
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;Pedro Marcus Lira Palma;Diretor Presidente
02.509.186/0001-34;2023-12-31;1;127973;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;José Renato Ricciardi;Diretor Presidente
02.509.186/0001-34;2023-12-31;1;127973;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;Alexandre Tujisoki;Diretor de Relações com Investidores
02.509.491/0001-26;2023-12-31;7;135929;CONC ECOVIAS IMIGRANTES S.A.;Rui Juarez Klein;Diretor Presidente
02.509.491/0001-26;2023-12-31;7;135929;CONC ECOVIAS IMIGRANTES S.A.;Ronald Dennis Marangon;Diretor de Relações com Investidores
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;David Melcon Sanchez-Friera;Diretor de Relações com Investidores
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;Christian Mauad Gebara;Diretor Presidente
02.560.878/0001-07;2023-12-31;2;128642;HOSPITAL ANCHIETA S.A.;Antônio Alves Benjamim Neto;Diretor Presidente
02.560.878/0001-07;2023-12-31;2;128642;HOSPITAL ANCHIETA S.A.;Elias Leal Lima;Diretor de Relações com Investidores
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;José Carlos Rodrigues Rosa;Diretor de Relações com Investidores
02.600.854/0001-34;2023-12-31;4;131159;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;Mario Girasole;Diretor Presidente
02.600.854/0001-34;2023-12-31;4;131159;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;Mario Girasole;Diretor de Relações com Investidores
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Otávio Lage de Siqueira Filho;Diretor Presidente
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;Rodrigo Penna de Siqueira;Diretor de Relações com Investidores
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;Marcelo Siqueira de Carvalho;Diretor de Relações com Investidores
02.682.287/0001-02;2023-12-31;5;131665;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;DERMEVAL BICALHO CARVALHO;Diretor Presidente
02.682.287/0001-02;2023-12-31;5;131665;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;LEONARDO RICCI SCUTTI;Diretor de Relações com Investidores
02.724.983/0001-34;2023-12-31;2;132617;SANESALTO SANEAMENTO S.A.;MARIO VIEIRA MARCONDES NETO;Diretor Presidente
02.724.983/0001-34;2023-12-31;2;132617;SANESALTO SANEAMENTO S.A.;ANDRÉ CÔRTES VELLOSO;Diretor de Relações com Investidores
02.762.113/0001-50;2023-12-31;5;133894;BRAZILIAN FINANCE E REAL ESTATE S.A.;DERMEVAL BICALHO CARVALHO;Diretor Presidente
02.762.113/0001-50;2023-12-31;5;133894;BRAZILIAN FINANCE E REAL ESTATE S.A.;LEONARDO RICCI SCUTTI;Diretor de Relações com Investidores
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Antonio Carlos Duarte Sepúlveda;Diretor Presidente
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;Daniel Pedreira Dorea;Diretor de Relações com Investidores
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;MARIA AMALIA DELFIM DE MELO COUTRIM;Diretor de Relações com Investidores
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor Presidente
02.783.423/0001-50;2023-12-31;1;128149;ALTERE SECURITIZADORA S.A.;Armando Miguel Gallo Neto;Diretor de Relações com Investidores
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Roberto Valério Neto;Diretor Presidente
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;Frederico da Cunha Villa;Diretor de Relações com Investidores
02.846.056/0001-97;2023-12-31;10;136034;CCR S.A.;Waldo Edwin Perez Leskovar;Diretor de Relações com Investidores
02.846.056/0001-97;2023-12-31;10;136034;CCR S.A.;Miguel Nuno Simões Nunes Ferreira Setas;Diretor Presidente
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;Serafim Magalhães de Abreu Junior;Diretor Presidente/Relações com Investidores
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Gilberto Tomazoni;Diretor Presidente
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;Guilherme Perboyre Cavalcanti;Diretor de Relações com Investidores
02.919.555/0001-67;2023-12-31;6;136161;ARTERIS S.A.;Sergio Moniz Barretto Garcia;Diretor Presidente
02.919.555/0001-67;2023-12-31;6;136161;ARTERIS S.A.;Simone Aparecida Borsato;Diretor de Relações com Investidores
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Adalmario Ghovatto Satheler do Couto;Diretor de Relações com Investidores
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;Breno Toledo Pires de Oliveira;Diretor Presidente
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Augusto Alves do Reis Neto;Diretor Presidente/Relações com Investidores
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;DIOGO ALEXANDRE DE MELO BAHIA;Diretor Presidente
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;NORBERTO AGUIAR TOMAZ;Diretor de Relações com Investidores
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;SILVIO ALEXANDRE SCUCUGLIA DA SILVA;Diretor Presidente/Relações com Investidores
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Rui Chammas;Diretor Presidente
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Carisa Santos Portela Cristal;Diretor de Relações com Investidores
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Carlo Alberto Bottarelli;Diretor Presidente
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Roberto Solheid da Costa de Carvalho;Diretor de Relações com Investidores
03.025.305/0001-46;2023-12-31;1;127964;RODOVIAS DAS COLINAS S.A.;Alexandre Tujisoki;Diretor de Relações com Investidores
03.025.305/0001-46;2023-12-31;1;127964;RODOVIAS DAS COLINAS S.A.;José Renato Ricciardi;Diretor Presidente
03.207.703/0001-83;2023-12-31;2;131260;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;Simone Aparecida Borsato;Diretor de Relações com Investidores
03.207.703/0001-83;2023-12-31;2;131260;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;André Giavina Bianchi;Diretor Presidente
