CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;9.50;1104517.20;16888.92;906629.32;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;127838.16;127838.16;127838.16;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;9.00;114609.69;48526.55;122555.40;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;8.83;1252632.64;51576.38;1041771.99;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;4.92;114609.69;113991.68;116473.26;Valor médio da remuneração calculado considerando pagamento de verbas rescisórias
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;5.58;108374.42;8750.71;112671.37;Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;9.00;8.67;730946.20;28687.94;610017.92;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;5.00;5.00;108374.42;108374.42;108374.42;
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;7.00;65284.32;65284.32;65689.20;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado.O valor do Presidente do Conselho de Administração é distinto dos demais Conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(4)Valores para o exercício social de 2022 não consideram INSS e FGTS, conforme aprovado na 62ª AGO
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;1226608.07;928300.79;1277250.94;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(4)Valores para o exercício social de 2022 não consideram INSS e FGTS, conforme aprovado na 62ª AGO.(5)Para "Maior Remuneração" (R$1.226.608,07): Verifica-se o maior somatório dos valores remuneratórios pagos para determinado diretor em 2022, dentre o somatório para cada um dos diretores que perceberam valores remuneratórios em 2022. Ou seja, nenhum diretor individualmente recebeu mais do que R$1.277.250,94 em 2022. Em resumo, trata-se de maior remuneração para determinado diretor, ou seja, para um indivíduo.(6)Para "Remuneração Média (R$1.277.250,94)": O somatório dos valores remuneratórios pagos a todos os diretores em 2022 (R$8.084.998,45) é dividido pelo número de diretores remunerados (6,33), sendo este calculado conforme metodologia do Ofício Circular/Anual2023-CVM/SEP, que corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente. Em resumo, trata-se da média das posições de Diretoria, onde uma posição pode ter mais de um Diretor. É possível perceber que há bases diferentes para "maior remuneração" e "remuneração média" (uma que considera as posições de diretoria, e outra que considera individualmente cada diretor), o que, para o ano de 2022, implicou em situação de valor para "média remuneratória" (R$1.277.250,94) superior ao valor para "maior remuneração" (R$1.226.608,07).
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;4.92;75859.76;68045.01;76468.72;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(4)Valores para o exercício social de 2022 não consideram INSS e FGTS, conforme aprovado na 62ª AGO
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho de Administração;10.25;7.42;65284.32;65284.32;66037.08;O valor de honorários distribuído entre os membros do conselho de administração é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no  Ofício-Circular /ANUAL-2023-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(3)Valores para o exercício social de 2021 não consideram encargos sociais de responsabilidade da Eletrobras (INSS), conforme apresentado na 62ª AGO.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.83;5.83;1027824.23;821745.55;1105273.57;O valor de honorários distribuídos para os membros da diretoria estatutária é o mesmo para todos, exceto o acréscimo de 5% para o diretor-presidente em relação aos demais membros. O presidente era também membro do conselho de administração, porém a remuneração por ele percebida na qualidade de membro da diretoria estatutária não foi computada para efeito do cálculo da remuneração do conselho de administração e vice-versa, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. Entretanto, os encargos relativos à sua remuneração total são considerados exclusivamente na diretoria estatutária.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no   Ofício-Circular /ANUAL-2023-CVM/SEP.O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(3)Valores para o exercício social de 2021 não consideram encargos sociais de responsabilidade da Eletrobras (INSS), conforme apresentado na 62ª AGO.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;65284.32;65284.32;65284.32;O valor de honorários distribuído entre os membros do conselho de fiscal é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.(3)Valores para o exercício social de 2021 não consideram encargos sociais de responsabilidade da Eletrobras (INSS), conforme apresentado na 62ª AGO.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Conselho de Administração;11.00;8.00;78341.16;65284.32;72792.00;O valor de honorários distribuído entre os membros do conselho de administração é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no  Ofício-Circular /ANUAL-2023-CVM/SEP.O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;6.00;1080385.71;889082.12;1051812.00;O valor de honorários distribuídos para os membros da diretoria estatutária é o mesmo para todos, exceto o acréscimo de 5% para o diretor-presidente em relação aos demais membros e os  honorários percebidos por 1 diretor empregado.O presidente era também membro do conselho de administração, porém as remunerações por ele percebida não foi considerada para o conselho de administração e vice-versa, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. Os encargos relativos à sua remuneração total são considerados na diretoria estatutária. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no  Ofício-Circular /ANUAL-2023-CVM/SEP.O número de membros corresponde à média anual dos membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Conselho Fiscal;4.42;4.42;78341.16;65283.32;74138.22;O valor de honorários distribuído entre os membros do conselho de fiscal é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no  Ofício-Circular /ANUAL-2023-CVM/SEP.(1)Não foram contabilizados 3 conselheiros, haja vista que conselheiros de administração integrantes do Comitê de Auditoria e Riscos Estatutário são remunerados somente pela participação no Comitê.(2)Para fins de Remuneração, computou-se o somatório de todos os componentes remuneratórios, quando aplicáveis, dos Administradores, Conselheiros Fiscais e Membros do Comitê de Auditoria e Riscos Estatutário: honorários, benefícios diretos e indiretos, encargos (INSS e FGTS), pós-emprego, cessação do cargo e remuneração variável.
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;199964.00;115850.00;153787.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Conselho de Administração;9.00;8.00;62981.00;55108.00;59045.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;298427.00;177474.00;209407.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;39363.00;39363.00;39363.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020-01-01;2020-12-31;Conselho de Administração;9.00;7.00;55108.28;55108.28;55108.28;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;4.00;291710.22;175107.38;193429.49;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020-01-01;2020-12-31;Conselho Fiscal;5.00;5.00;39363.06;31490.45;38050.96;
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;2308103.63;80776.75;852054.85;N/A
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;13.00;1534650.05;866244.97;1193047.29;N/A
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;N/A
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;8.00;1861152.12;77874.35;597174.07;N/A
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;13.00;13.00;1597633.36;1073036.30;1391200.68;N/A
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;N/A
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2021-01-01;2021-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;1.00;355200.00;355200.00;355200.00;Os valores: (i) valor da maior remuneração (ii) valor da menor remuneração e (iii) valor médio da remuneração foram considerados sem encargos de INSS.
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;Não aplicável.
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;1.00;0.17;25400.00;25400.00;25400.00;(i) O valor da menor remuneração foi apurado considerando apenas membros de órgão que exerceram o cargo durante os 12 meses de 2021. Não foram considerados os membros que deixaram seus cargos ao longo do ano (ii) o valor médio é o total pago no ano dividido pelo número de membros remunerados e (iii) o valor da maior remuneração foi apurado por meio do maior valor pago a um diretor considerando que este exerceu o cargo por 12 meses em 2021.
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;0.33;0.00;0.00;0.00;0.00;Não aplicável.
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;108000.00;0.01;27111.11;
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;2525000.00;0.01;841666.67;
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;45000.00;0.01;9000.00;
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;3442705.21;781894.38;1668831.32;
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;2.92;0.00;0.00;0.00;0.00;
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.75;2.33;427191.43;21355.00;302050.00;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho de Administração;8.00;7.00;48266.84;42166.54;46281.27;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;607836.37;178267.59;441755.30;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;48072.22;38924.90;44945.40;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Conselho de Administração;8.00;6.00;49045.32;23354.94;44452.22;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;583568.54;129598.32;433606.43;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;48072.22;31139.92;47644.08;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;Conselho de Administração;8.00;7.00;49045.32;38924.90;45168.14;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;488332.45;351703.03;418249.46;
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;Conselho Fiscal;5.00;5.00;50602.37;39703.41;47644.08;
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;2.00;180655.15;180655.15;180655.15;
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;1753414.94;797006.79;1073302.48;
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;1.00;73159.72;73159.72;73159.72;
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;2.00;164064.40;164064.40;164064.40;Houve a troca de conselheiro em janeiro de 2021, considerando a saída em um dia e a substituição no dia seguinte, foi considerado o total de 2 membros do conselho.
