CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Diretoria Estatutária;32.67;42918700.60;32.67;23411373.91;3627726.19;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;7892440.20;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;2268491.41;5718668.89;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 42,25. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho Fiscal;5.00;366983.48;5.00;366983.48;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho de Administração;9.00;841601.22;7.58;841601.22;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Diretoria Estatutária;10.00;8612978.57;9.50;4646069.76;0.00;0.00;0.00;;0.00;3966908.81;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho Fiscal;5.00;639190.80;5.00;639190.80;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Conselho de Administração;9.00;1102998.56;9.00;1102998.56;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Diretoria Estatutária;9.00;9198846.66;8.83;4373401.99;0.00;0.00;0.00;;0.00;4825444.67;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Conselho Fiscal;5.00;573048.45;4.92;573048.45;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;6459433.69;Conselho de Administração;9.00;628706.23;5.58;628706.23;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.;0.00;0.00;0.00;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;6459433.69;Diretoria Estatutária;9.00;5288855.36;8.67;3391960.31;0.00;0.00;0.00;;0.00;1896895.05;0.00;0.00;0.00;O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.;0.00;0.00;0.00;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;6459433.69;Conselho Fiscal;5.00;541872.10;5.00;541872.10;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;O número de membros total e de membros remunerados foi apurado conforme Ofício Circular CVM/SEP/Nº 01/2021.Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. Em observância ao Ofício Circular CVM/SEP/Nº 01/2021, não são considerados os encargos sociais que são ônus do Banco.;0.00;0.00;0.00;
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;11122492.33;Conselho de Administração;9.00;1380652.56;9.00;1380652.56;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;11122492.33;Diretoria Estatutária;10.00;8974810.57;10.00;6695796.64;0.00;0.00;0.00;;0.00;2279013.93;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;11122492.33;Conselho Fiscal;5.00;767029.20;5.00;767029.20;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho de Administração;9.58;459824.38;7.00;459824.38;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Diretoria Estatutária;6.33;8084998.44;6.33;4542661.99;723545.97;0.00;0.00;;1671703.65;0.00;0.00;0.00;0.00;;764147.14;0.00;382939.69;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. A remuneração baseada em ações paga no exercício de 2022 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho Fiscal;4.92;376226.10;4.92;376226.10;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Conselho de Administração;10.25;489995.11;7.42;489995.11;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Diretoria Estatutária;5.83;6443744.90;5.83;3510603.79;802357.47;0.00;398855.46;FGTS;539105.56;0.00;0.00;0.00;0.00;;436363.19;0.00;756459.43;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. A remuneração baseada em ações paga no exercício de 2021 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Conselho Fiscal;5.00;326421.60;5.00;326421.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;7220898.96;Conselho de Administração;11.00;582336.02;8.00;517922.28;0.00;0.00;64413.74;Encargos INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;7220898.96;Diretoria Estatutária;6.00;6310871.99;6.00;3616698.55;631236.10;0.00;1236097.59;Encargos INSS/FGTS;0.00;0.00;0.00;0.00;0.00;;444333.11;0.00;382506.64;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. A remuneração baseada em ações paga no exercício de 2020 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;7220898.96;Conselho Fiscal;4.42;327690.95;4.42;288520.43;0.00;0.00;39170.52;Encargos INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;86153181.08;Conselho de Administração;9.00;20689370.37;9.00;7065000.00;0.00;1908263.67;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;11716106.70;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.¹Com relação ao previsto para o exercício de 2023, o campo "remuneração baseada em ações" considera (i) a 1ª e a 2ª transferência no âmbito do Plano de Ações Restritas aprovado na 184ª AGE (ii) a estimativa de 1/5 do valor do Plano de Opções, também aprovado na 184ª AGE e (iii) o modelo de remuneração baseada em ações anteriormente em vigor, que será descontinuado em 2023, de "Phantom Shares". No caso das Ações Restritas para Conselho de Administração, somente a outorga ocorrerá em 2023 e a transferência da propriedade das ações ocorrerá apenas em 2028 da mesma forma, no caso das Opções de Compra de Ações da Diretoria Estatutária, a outorga ocorrerá em 2023, mas o exercício das opções ocorrerá no mínimo em 3 anos, havendo outros dois marcos de vesting com o alcance dos prazos de 4 anos e 5 anos Portanto, não há recebimento dos valores de Ações Restritas pelo Conselho de Administração, e de Opções de Compra de Ações pela Diretoria Executiva entre abr/23 e mar/24, mas sim, o reconhecimento da despesa no período.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;86153181.08;Diretoria Estatutária;10.75;64724548.21;10.75;16399175.42;1321660.68;0.00;0.00;;3761029.30;0.00;0.00;0.00;0.00;;2181174.24;0.00;41061508.57;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.¹Com relação ao previsto para o exercício de 2023, o campo "remuneração baseada em ações" considera (i) a 1ª e a 2ª transferência no âmbito do Plano de Ações Restritas aprovado na 184ª AGE (ii) a estimativa de 1/5 do valor do Plano de Opções, também aprovado na 184ª AGE e (iii) o modelo de remuneração baseada em ações anteriormente em vigor, que será descontinuado em 2023, de "Phantom Shares". No caso das Ações Restritas para Conselho de Administração, somente a outorga ocorrerá em 2023 e a transferência da propriedade das ações ocorrerá apenas em 2028 da mesma forma, no caso das Opções de Compra de Ações da Diretoria Estatutária, a outorga ocorrerá em 2023, mas o exercício das opções ocorrerá no mínimo em 3 anos, havendo outros dois marcos de vesting com o alcance dos prazos de 4 anos e 5 anos Portanto, não há recebimento dos valores de Ações Restritas pelo Conselho de Administração, e de Opções de Compra de Ações pela Diretoria Executiva entre abr/23 e mar/24, mas sim, o reconhecimento da despesa no período.
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;86153181.08;Conselho Fiscal;5.00;739262.50;5.00;739262.50;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;3703687.00;Conselho de Administração;9.00;713849.00;8.00;590446.00;0.00;0.00;123403.00;Encargos sociais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;3703687.00;Diretoria Estatutária;4.00;2515769.00;4.00;1449336.00;522172.00;0.00;544261.00;Encargos sociais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
