CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sul;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;2008;221;14
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;5558;1412;156
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;1867;251;12
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;19000;9146;1151
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;2447;344;43
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Centro-Oeste;1031;3245;230
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Exterior;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Nordeste;965;2738;227
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Norte;943;2780;94
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sudeste;996;2901;301
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sul;15;58;8
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;18;155;15
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;45;295;50
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;737;3129;345
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sudeste;0;11;20
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;60;253;7
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;47;402;12
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;20;80;4
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;790;2609;217
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;109;406;29
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Centro-Oeste;175;680;83
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Exterior;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Nordeste;2157;7409;417
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Norte;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sudeste;933;3152;383
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sul;5;12;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;0;2;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Centro-Oeste;74;104;19
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Exterior;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Nordeste;21;130;26
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Norte;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sudeste;611;1075;335
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sul;778;1818;560
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Centro-Oeste;359;850;52
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Exterior;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Nordeste;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Norte;3;3;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sudeste;626;2476;353
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sul;755;2530;307
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Exterior;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Nordeste;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Norte;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sudeste;1653;4250;550
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sul;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Centro-Oeste;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Exterior;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Nordeste;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Norte;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sudeste;109;315;43
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sul;0;2;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;2
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;38;52;6
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;143;183;13
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;26;55;9
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;1903;2063;326
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;303;399;112
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;209;736;132
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Nordeste;158;809;173
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Norte;124;376;25
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sudeste;523;2115;702
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sul;503;1474;336
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Centro-Oeste;8646;10381;1251
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Exterior;1194;5388;458
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Nordeste;728;2411;246
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Norte;50;208;14
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sudeste;4126;9360;1864
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sul;15004;26561;8333
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Exterior;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Nordeste;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Norte;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sudeste;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sul;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Centro-Oeste;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Exterior;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Nordeste;919;695;27
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Norte;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sudeste;2216;1119;194
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sul;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Exterior;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Nordeste;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Norte;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sudeste;33;127;44
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sul;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;4;15;11
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;1;0;3
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sudeste;0;4;1
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Centro-Oeste;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Exterior;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Nordeste;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Norte;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sudeste;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sul;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Centro-Oeste;11;102;10
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Exterior;29;154;25
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Nordeste;29;201;20
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Norte;6;26;2
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Sudeste;3576;8233;780
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Sul;27;194;30
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Centro-Oeste;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Exterior;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Nordeste;0;0;2
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Norte;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Sudeste;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Sul;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Exterior;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Nordeste;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Norte;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Sudeste;110;339;165
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Sul;46;144;27
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Centro-Oeste;0;0;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Exterior;0;0;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Nordeste;0;0;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Norte;0;0;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Sudeste;0;2;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Sul;0;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Centro-Oeste;0;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Exterior;1;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Nordeste;0;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Norte;0;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Sudeste;0;0;0
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;Sul;972;670;34
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Centro-Oeste;0;0;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Exterior;0;0;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Nordeste;0;0;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Norte;0;0;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Sudeste;0;6;0
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Sul;0;0;0
