CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.00;2.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;2.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.75;0.00;0.000000;0.00;0.00;0.00
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.50;0.00;0.500000;0.00;0.00;0.00
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.66;0.00;0.500000;0.00;0.00;0.00
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.500000;0.00;0.00;0.00
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.500000;0.00;0.00;0.00
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2020-01-01;2020-12-31;Conselho de Administração;8.00;8.00;0.000000;2.84;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;3.00;0.100000;2.58;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;1.800000;1.95;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.58;0.100000;2.71;2.73;2.77
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;8.33;8.33;1.500000;1.94;1.75;1.95
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2021-01-01;2021-12-31;Conselho de Administração;8.00;4.00;0.700000;2.84;0.00;4.31
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2021-01-01;2021-12-31;Diretoria Estatutária;7.33;7.33;1.700000;2.05;2.74;2.59
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;1.00;0.840000;0.00;0.00;0.01
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;1.00;1.300000;2.84;0.00;0.00
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2020-01-01;2020-12-31;Conselho de Administração;11.25;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;5.00;0.007000;0.01;0.01;0.01
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2021-01-01;2021-12-31;Conselho de Administração;13.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;0.073000;0.01;0.01;0.01
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;4.00;0.027800;0.01;0.01;0.01
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.020000;0.01;0.01;0.01
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;0.000000;7.69;0.00;7.69
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.70;7.70;0.000000;7.50;0.00;7.50
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2020-01-01;2020-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;7.00;7.00;0.000000;10.82;13.72;12.09
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;18.00;1.00;0.000000;0.00;0.00;160150.38
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;4.00;0.000000;0.00;0.00;1572122.91
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;18.00;1.00;0.000000;0.00;0.00;160150.32
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;0.000000;0.00;0.00;345115.09
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;17.67;1.00;0.000000;0.00;0.00;111441.27
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;8.00;0.000000;0.00;0.00;2434539.14
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;3.00;5.120000;2.66;2.29;3.50
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;5.120000;2.85;2.02;5.63
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;5.110000;3.08;2.48;3.78
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;5.110000;3.08;2.68;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;4.00;0.110000;3.53;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;1.980000;3.34;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;0.080000;4.56;16.63;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;1.640000;4.00;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;3.00;0.050000;7.88;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.33;3.00;0.840000;7.39;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;3.00;0.050000;7.32;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.50;3.00;0.840000;7.20;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;3.00;0.340000;36.85;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;0.140000;29.01;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0.130000;28.18;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0.200000;28.32;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2020-01-01;2020-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;1.00;5.000000;53.00;0.00;0.00
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Diretoria Estatutária;3.42;0.00;0.000000;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
