CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta;Nao_Aplicavel
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho Fiscal - Efetivos;0;2;0;0;3;N
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho Fiscal - Suplentes;0;0;0;0;5;N
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Diretoria;0;2;0;0;2;N
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Efetivos;2;7;0;0;0;N
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Diretoria;2;10;0;0;0;N
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho de Administração - Efetivos;0;0;0;0;0;S
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diretoria;0;0;0;0;0;S
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Conselho de Administração - Suplentes;0;3;0;0;0;N
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.194.724/0001-13;2023-12-31;7;137743;AES BRASIL OPERAÇÕES S.A.;Diretoria;1;1;0;0;0;N
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho de Administração - Efetivos;1;8;0;0;0;N
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diretoria;0;4;0;0;0;N
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Diretoria;0;2;0;0;0;N
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho de Administração - Efetivos;0;0;0;0;0;S
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Diretoria;0;0;0;0;0;S
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho de Administração - Efetivos;2;3;0;0;0;N
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.359.742/0001-08;2023-12-31;3;134771;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diretoria;1;2;0;0;0;N
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho de Administração - Efetivos;3;8;0;0;0;N
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho Fiscal - Efetivos;2;1;0;0;0;N
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho Fiscal - Suplentes;1;1;0;0;0;N
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Diretoria;4;6;0;0;0;N
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho de Administração - Efetivos;2;5;0;0;0;N
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Diretoria;1;2;0;0;0;N
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho de Administração - Efetivos;2;1;0;0;0;N
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Diretoria;4;3;0;0;0;N
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Conselho de Administração - Suplentes;0;3;0;0;0;N
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Conselho Fiscal - Efetivos;0;5;0;0;0;N
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Conselho Fiscal - Suplentes;1;4;0;0;0;N
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Diretoria;1;5;0;0;0;N
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;S
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Diretoria;0;0;0;0;0;S
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Efetivos;1;6;0;0;0;N
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Suplentes;1;3;0;0;0;N
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Efetivos;0;3;0;0;0;N
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Suplentes;1;2;0;0;0;N
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Diretoria;1;1;0;0;0;N
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Conselho de Administração - Efetivos;1;6;0;0;0;N
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Conselho de Administração - Suplentes;0;3;0;0;0;N
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Conselho Fiscal - Efetivos;2;3;0;0;0;N
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Conselho Fiscal - Suplentes;0;5;0;0;0;N
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Diretoria;1;4;0;0;0;N
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Conselho de Administração - Efetivos;1;2;0;0;0;N
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Diretoria;2;3;0;0;0;N
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Conselho de Administração - Efetivos;1;4;0;0;0;N
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Conselho Fiscal - Efetivos;1;2;0;0;0;N
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Conselho Fiscal - Suplentes;1;1;0;0;0;N
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Diretoria;2;1;0;0;0;N
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Conselho de Administração - Efetivos;1;3;0;0;0;N
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Conselho de Administração - Suplentes;1;3;0;0;0;N
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Diretoria;1;4;0;0;0;N
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;N
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Conselho de Administração - Suplentes;0;7;0;0;0;N
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Diretoria;0;2;0;0;0;N
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Conselho de Administração - Efetivos;0;3;0;0;0;N
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Conselho Fiscal - Efetivos;0;0;0;0;0;S
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Conselho Fiscal - Suplentes;0;0;0;0;0;S
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;Diretoria;0;2;0;0;0;N
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Conselho de Administração - Efetivos;0;5;0;0;0;N
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Conselho de Administração - Suplentes;0;0;0;0;0;S
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Conselho Fiscal - Efetivos;2;1;0;0;0;N
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Conselho Fiscal - Suplentes;0;3;0;0;0;N
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;Diretoria;1;2;0;0;0;N
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho de Administração - Efetivos;1;11;0;0;0;N
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho Fiscal - Efetivos;2;3;0;0;0;N
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho Fiscal - Suplentes;1;3;0;0;0;N
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Diretoria;3;5;0;0;0;N
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Conselho de Administração - Efetivos;1;12;0;0;0;N
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Conselho de Administração - Suplentes;2;7;0;0;0;N
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Conselho Fiscal - Efetivos;0;5;0;0;0;N
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Conselho Fiscal - Suplentes;1;4;0;0;0;N
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Diretoria;3;8;0;0;0;N
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho de Administração - Efetivos;1;4;0;0;0;N
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho Fiscal - Efetivos;1;2;0;0;0;N
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho Fiscal - Suplentes;0;3;0;0;0;N
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Diretoria;0;2;0;0;0;N
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Conselho de Administração - Efetivos;1;4;0;0;0;N
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Diretoria;0;4;0;0;0;N
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Conselho de Administração - Efetivos;1;2;0;0;0;N
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Diretoria;0;5;0;0;0;N
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;S
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Diretoria;0;0;0;0;0;S
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Conselho de Administração - Efetivos;0;10;0;0;0;N
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Diretoria;0;3;0;0;0;N
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Efetivos;0;0;0;0;5;N
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Diretoria;0;0;0;0;8;N
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;N
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Diretoria;3;4;0;0;0;N
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Conselho de Administração - Efetivos;1;1;0;0;1;N
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Diretoria;0;3;0;0;0;N
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;N
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Diretoria;0;4;0;0;0;N
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Conselho de Administração - Efetivos;0;0;0;0;0;S
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.616.929/0001-02;2023-12-31;7;136173;SANEAMENTO DE GOIAS SA;Diretoria;0;0;0;0;0;S
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Conselho de Administração - Efetivos;1;7;0;0;0;N
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Diretoria;2;2;0;0;0;N
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Conselho de Administração - Efetivos;2;7;0;0;0;N
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;N
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Diretoria;0;8;0;0;0;N
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Conselho de Administração - Efetivos;0;0;0;0;3;N
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
