CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;37933;0.00;43.96;-1667534.68
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;11.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;46667;0.00;44.12;-2058948.04
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;10.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Conselho de Administração;11.67;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;8.67;0.00;0;0.00;0.00;0.00
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Diretoria Estatutária;6.83;6.83;3104101;5.49;3.07;7511924.42
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;6.50;580407;7.81;3.49;2507358.24
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;Diretoria Estatutária;6.50;6.00;420037;10.60;4.86;2411012.38
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.91;9.91;0;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.66;6.66;0;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;0;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.67;4.67;0;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.75;7.75;0;0.00;0.00;0.00
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.66;7.66;0;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;1.00;33497;30.61;15.34;511499.19
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;523124;26.20;14.99;5864220.04
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;1.00;33497;30.61;28.22;80057.83
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;8.00;667801;24.44;27.93;-2330625.49
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Conselho de Administração;10.00;1.00;392789;24.51;19.45;1987512.34
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.00;8.00;460801;25.94;19.63;2907654.31
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.00;2.00;0;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;2.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.67;3.00;50087;23.18;20.96;111193.14
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.17;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.75;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.75;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.75;3.00;50087;23.18;20.96;111193.14
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;57975;7.16;32.75;-1483580.25
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;86963;7.16;22.91;-1369667.25
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;8.33;8.00;0;0.00;0.00;0.00
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;4.00;1031884;2.34;0.00;2414608.56
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;1756091;13.15;12.98;298535.47
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.70;7.70;402806;12.76;12.16;241683.60
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2020-01-01;2020-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;7.00;7.00;186870;15.48;14.26;227981.40
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;56224;4.39;0.00;246823.36
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2021-01-01;2021-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;42095;3.88;0.00;163328.60
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2020-01-01;2020-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;3.00;597403;3.70;4.03;-197142.99
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;193900;5.98;6.73;-145425.00
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;435691;6.28;6.68;-174276.40
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;0;0.00;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;83212;0.01;2.58;-213854.84
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;3.00;414624;0.01;3.06;-1264603.20
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.33;4.00;4189218;0.01;3.06;-12777114.90
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.50;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;501343;28.32;40.49;-6101344.31
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;291488;29.10;35.98;-2005437.44
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;259501;28.50;32.53;-1045789.03
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2020-01-01;2020-12-31;Diretoria Estatutária;3.42;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;12.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.17;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.58;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;115869;18.88;25.58;-776322.30
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;0;0.00;0.00;0.00
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;31317;0.00;43.96;-1376695.32
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;38658;0.00;44.12;-1705590.96
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2020-01-01;2020-12-31;Diretoria Estatutária;7.00;7.00;0;0.00;0.00;0.00
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;54880;6.60;6.60;0.00
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.92;4.92;54880;6.60;6.60;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;292270;0.00;15.83;-4626634.10
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.25;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;243470;0.00;18.51;-4506629.70
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;4.33;4.33;651797;0.00;12.11;-7893261.67
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2020-01-01;2020-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
